"id","location_srs","location_x","location_y","operator","elevation","slope","aspect","adm1_name","country","geometry","area","actively_saved","actively_saved_on_year","actively_saved_on_month","actively_saved_on_day","plot_file","ref_code","confidence","map_code","ref_class","map_class"
"78","EPSG:4326","104.143892909273","11.0287269031059","autobot","130","0.037674752176428","1.95055511405602","Kâmpôt","Cambodia","no_geom_record","1","FALSE","2017","09","12","response.csv","Deforestation crops","TRUE","Deforestation crops","Deforestation crops","Deforestation crops"
"825","EPSG:4326","104.27424975364","11.1224324566897","autobot","336","0.0866176714104697","5.20548248860365","Kâmpóng Spœ","Cambodia","no_geom_record","1","FALSE","2017","09","12","response.csv","Deforestation crops","FALSE","Deforestation crops","Deforestation crops","Deforestation crops"
"459","EPSG:4326","105.166417952705","13.7561418629526","autobot","65","0.00275255330822209","4.07959467004091","Preah Vihéar","Cambodia","no_geom_record","1","FALSE","2017","09","12","response.csv","Deforestation crops","TRUE","Deforestation crops","Deforestation crops","Deforestation crops"
"499","EPSG:4326","103.531803908596","11.2608315440629","autobot","44","0.0128552390329772","0.912192115284972","Kaôh Kong","Cambodia","no_geom_record","1","FALSE","2017","09","12","response.csv","Deforestation crops","TRUE","Deforestation crops","Deforestation crops","Deforestation crops"
"94","EPSG:4326","104.125324435827","11.2839538259775","autobot","136","0.0187649725241157","2.00340811302987","Kâmpóng Spœ","Cambodia","no_geom_record","1","FALSE","2017","09","12","response.csv","Deforestation crops","TRUE","Deforestation crops","Deforestation crops","Deforestation crops"
"274","EPSG:4326","104.110523033542","11.4174824744181","autobot","188","0.03098845846777","3.84004745509657","Kâmpóng Spœ","Cambodia","no_geom_record","1","FALSE","2017","09","12","response.csv","Deforestation crops","TRUE","Deforestation crops","Deforestation crops","Deforestation crops"
"462","EPSG:4326","104.257515425712","11.3826835909869","autobot","71","0.00326504384122275","0.299119796190281","Kâmpóng Spœ","Cambodia","no_geom_record","1","FALSE","2017","09","12","response.csv","Deforestation crops","FALSE","Deforestation crops","Deforestation crops","Deforestation crops"
"758","EPSG:4326","104.284496157356","11.5556402532664","autobot","69","0.00425848941641858","3.61076510298057","Kâmpóng Spœ","Cambodia","no_geom_record","1","FALSE","2017","09","12","response.csv","Deforestation crops","FALSE","Deforestation crops","Deforestation crops","Deforestation crops"
"431","EPSG:4326","104.177895239575","14.0371400383728","autobot","93","0.00596667132114561","4.135228962114","Siemréab","Cambodia","no_geom_record","1","FALSE","2017","09","12","response.csv","Deforestation crops","TRUE","Deforestation crops","Deforestation crops","Deforestation crops"
"365","EPSG:4326","103.959060261861","11.6772221105661","autobot","114","0.00346779785102003","2.68993388360936","Kâmpóng Spœ","Cambodia","no_geom_record","1","FALSE","2017","09","12","response.csv","Deforestation crops","TRUE","Deforestation crops","Deforestation crops","Deforestation crops"
